"","Water Year Type","Month","NAA Monthly Mean %","NAA SD","Alt1 Monthly Mean %","Alt1 SD","Alt2woTUCPwoVA Monthly Mean %","Alt2woTUCPwoVA SD","Alt2woTUCPDeltaVA Monthly Mean %","Alt2woTUCPDeltaVA SD","Alt2woTUCPAllVA Monthly Mean %","Alt2woTUCPAllVA SD","Alt2wTUCPwoVA Monthly Mean %","Alt2wTUCPwoVA SD","Alt3 Monthly Mean %","Alt3 SD","Alt4 Monthly Mean %","Alt4 SD","EXP1 Monthly Mean %","EXP1 SD","EXP3 Monthly Mean %","EXP3 SD"
"1","AN",12,38.0119379945805,18.5781274110127,42.9724623236806,15.8460641954398,38.0495827440582,18.5216404709089,37.6915116325178,18.2932685101174,37.6781376221551,18.3082216379255,38.0884555492141,18.5734266221307,16.5599920497297,12.3445060456054,35.0956635489433,17.3169429902573,0,0,0,0
"2","AN",1,16.9156112207836,10.6370143151488,28.1136981970111,15.6319301876192,16.5602100355317,10.6455530956781,16.5372079668126,10.6528142874092,16.4643564511658,10.6653959861473,16.5459497870159,10.6808521600779,9.55167443847478,4.46977818756926,16.2540169072131,10.7662934463016,0,0,0,0
"3","AN",2,12.891114902121,5.732012837713,19.1713795330198,9.68012721595005,12.923802980683,5.42714396090421,12.9421818836174,5.44603763035602,12.8916993129006,5.50941340919798,12.9853831023524,5.42914157768992,10.1637064502935,4.5861979783237,14.0910311073933,6.10300759514785,0,0,0,0
"4","AN",3,12.2815062180526,4.69529737152027,19.3471769544447,9.00977471917449,12.6412505115588,4.6160654254634,9.96503909723907,4.76709848444576,10.0492789369071,4.78504934776455,12.4821400239974,4.67894453007529,7.38726116999637,4.42953476706168,13.0496643231708,5.23199947086012,0,0,0,0
"5","AN",4,13.4133616957853,4.20170233985562,18.7387550898593,4.92439840054963,17.9116705932122,5.18526185572352,9.99177842916511,2.71769271568424,9.46500159928584,2.6284911599464,17.9172009569213,5.24350350896041,5.28607798518066,2.62079880417642,17.9295705195166,5.20151061365802,0,0,0,0
"6","AN",5,19.1026268094538,6.43142126068677,25.9429424603162,5.79993899475651,24.7074701947585,6.6318984991842,23.254231761824,7.5776010502683,21.5662557484371,6.96529217147792,24.7049296066922,6.63566818383095,4.91383631866493,2.55404656189239,24.7792278808788,6.62208602190225,0,0,0,0
"7","AN",6,30.9000273503859,3.16095525920492,34.6336349510621,0.626078988112566,28.4479067199326,3.46909497087112,28.6870690291213,3.3458144479419,29.1436588891841,3.12105282657723,28.4475814799598,3.47555924281743,18.8183997146441,10.1302972463769,28.4560815978184,3.48940262983722,0,0,0,0
"8","BN",1,25.0008400135143,12.6496358526631,40.8092628033535,13.537915585314,24.4023119926109,12.5221721271777,24.6503507172093,12.7927737325936,24.6252844998456,12.7836275645875,24.3460475449192,12.5260418788547,14.7360114053569,7.73901764316895,24.3125401460685,12.5785171024776,0,0,0,0
"9","BN",2,23.3068843117356,6.763484295846,29.7905066659011,9.37605158282979,22.1819728732357,6.39733741175885,22.1685800116231,6.39280810345616,22.1615466343378,6.43287565392871,22.1746406144201,6.17214601869288,13.3996515845004,6.80417763581862,24.3151769925143,6.83320545661952,0,0,0,0
"10","BN",3,20.6967997650755,5.3430278625568,30.6849535012181,5.25726454096077,20.5654682077114,5.44287548879712,13.5983689462369,4.4175964439472,13.5693052879161,4.3764011952636,20.554214619064,5.44633140270871,12.2214865124382,6.76790459318323,20.6591649202715,5.51517041277228,0,0,0,0
"11","BN",4,16.4661272729766,4.414837136099,21.7488054696545,4.30976227625192,20.2860457183375,4.1845520369046,16.0004453221174,4.30364850574914,14.5961730354066,3.69943085670692,20.2781598208242,4.24858913923471,7.67542587862409,2.37671264106557,20.3488022590349,4.21589844960536,0,0,0,0
"12","BN",5,17.7685041333156,2.96877608890998,24.5379403776835,3.51215855830999,22.7226373767732,3.2448492482039,22.4296794321301,3.40261069460034,20.7804117101593,2.99015743147484,23.1466403275322,3.45948823786903,7.13051068596773,2.4214911589771,23.4305694204656,3.73885671198693,0,0,0,0
"13","BN",6,32.1154432814156,1.97623089343155,32.7991732126954,6.03428958318037,29.4050200601192,2.14211157339576,29.3715826169943,2.12044521228462,30.1064557546612,2.30773939597775,29.1594634700603,1.89836836403523,16.7001581063261,7.02530663908016,29.186181640479,1.93715042983409,0,0,0,0
"14","BN",12,25.4890149585202,13.4657907930276,36.3718491533209,16.160213833209,24.7661543594804,12.205725442613,25.901937250355,12.8186052707661,24.7750533788408,12.8032778437075,25.3430490046635,12.6317618697022,14.9713924013163,15.8910073706472,23.9588189840292,12.2633931726877,0,0,0,0
"15","CD",1,33.6882878704208,14.0645770864666,47.006672997217,14.1294523474318,30.5399081192205,12.1127802736838,30.9193058951784,15.3174931983485,31.535857575574,14.914778426988,30.0806921463052,13.3515814641749,24.4935009214752,10.8056094278166,32.7752146467025,14.0503635678068,0,0,0,0
"16","CD",2,29.0850565035939,9.52061893865383,36.9786990201028,8.58611658234945,28.4022615415957,8.71229922001532,28.9302898740355,8.27807353402515,28.828757084783,8.48619941298603,31.2475366705821,9.30977613615067,24.0266653022719,11.1276743683743,34.4152453902716,8.82254693011259,0,0,0,0
"17","CD",3,29.2850089384112,5.39392584023794,26.2820261225301,8.06295628667466,22.8386216321022,7.87111116619057,22.4525905715237,7.32362572646309,22.3986367116091,7.43270186405812,27.8947031774173,6.17714607251511,17.5464831920892,8.24707560452845,28.946513182335,5.97754724708201,0,0,0,0
"18","CD",4,19.318312068715,2.99510760762204,19.910623866172,3.60142536633181,19.4327288001854,3.24681657004724,19.3315836273383,3.12112060944142,18.9046237476263,2.77951602730929,20.5845337427099,3.96295575956908,9.13442359167627,1.72164319039969,20.6759876064859,3.91449214490383,0,0,0,0
"19","CD",5,21.2541738863076,2.52662281668356,23.0362778184859,4.7931912338321,22.2933655911102,4.4290144229711,22.3165891532501,4.40640574752891,21.3502330544425,4.40135965669346,22.553095990397,3.16755237549536,9.57150300970266,1.46326987254936,21.9159251345582,3.80081351640188,0,0,0,0
"20","CD",6,17.9256287883602,6.38512564671569,18.6663299714296,7.35148375143829,16.5612308165183,7.08550580477117,16.6562326822697,6.93800354879347,16.0970698044655,6.97652821669808,17.0551639032053,6.43649845947741,10.6098026142671,3.97826425350309,16.3331251442978,6.03415858758546,0,0,0,0
"21","CD",12,36.3450442902004,10.3600047896753,41.9533034104779,18.2472126061992,39.6194809854003,11.8981862906045,38.8973081726801,12.051495211594,36.0359462103253,12.2069463635361,36.0421326775777,9.46400305185883,11.5349971816823,10.864317609222,32.4436142811221,12.2915532576327,0,0,0,0
"22","D",1,35.6493405052214,9.78453552943069,49.8436990148583,9.63878320630489,32.8263000077284,10.0519706300494,33.263007175693,10.0664382687083,33.2378248053963,10.1471095723139,32.8427002072468,10.0217238032458,17.8680009689921,9.09373359658483,35.6389784588908,10.1584807221251,0,0,0,0
"23","D",2,23.3225585511924,9.42387084264748,31.9774972468157,8.61391718442913,21.6265197624305,8.90334540789381,21.4923472568378,8.94474681692602,22.1621552859102,9.08346419202852,21.6140994736523,8.9221669408765,16.3524374142669,8.8087669309475,24.1737766354859,8.88458150811651,0,0,0,0
"24","D",3,24.971256714144,6.68891080387153,32.2107104571923,4.84138751772489,24.6309001061522,6.89790371062615,19.225847464927,6.37072319498261,19.1090021866531,6.30481939986472,24.6407891078719,6.89378718544995,18.2448587651292,8.98300396453283,24.8758071515315,6.79647835535526,0,0,0,0
"25","D",4,16.8400281402728,3.17755564951195,20.5822408632193,3.87784679111394,19.0452861102711,3.3924759174431,15.3529386482459,4.81891767703992,14.2703738969135,4.47722316249045,19.0607162195444,3.41305178110237,6.06341789620003,1.50248705608104,19.1276789890687,3.31860313861945,0,0,0,0
"26","D",5,18.1996100113627,3.68409496500186,23.6593025932664,4.8440152270341,21.2486100680835,5.55560238402964,19.6286004571626,6.32887277354831,18.4617949827851,6.17785580157101,21.2533522361944,5.55774089475307,7.15443272825099,1.5846577542343,21.2856088134731,5.57774861206778,0,0,0,0
"27","D",6,30.5422256198852,2.52745818212233,31.291331020536,3.52522722192407,27.874802235103,2.07853001753433,27.5066152480972,2.39111169244313,27.7387806446071,2.49950978944227,27.8863492702851,2.06492345487475,9.17311135855074,4.64464852518187,28.080821184932,1.80186241209882,0,0,0,0
"28","D",12,22.014886124645,11.0224889606198,37.0086784627904,16.9082849487087,22.1677764156246,11.381364098947,22.1645379912948,11.4246289946231,22.2558728388451,10.6858784034048,22.945769043679,11.2369474401698,13.3423739708323,9.37291263966287,21.6521359454885,11.2739846154085,0,0,0,0
"29","W",1,11.6831539649797,5.67988077238408,18.4267838771462,12.9990673658098,11.3198560038372,5.17866255659702,11.4084166322182,5.33768915232531,11.4099614606083,5.352102904336,11.3272574714043,5.18758798687411,9.44598353905366,6.42176978133429,11.0672101199119,5.20809629197606,0,0,0,0
"30","W",2,9.94628368137138,4.93194019315464,13.1672283261052,8.08924937848801,10.2823743968115,5.21530071783612,10.3307695925981,5.28655908747891,10.3317364226131,5.28430043716851,10.2871471203988,5.21020319889755,6.1675752351024,4.02793830668755,10.6618763848845,5.52558621744977,0,0,0,0
"31","W",3,11.7965992446908,6.63560596316486,15.15923255838,9.60313436944383,12.4663597814403,6.81021850886642,11.8908649740749,6.79410695639458,11.9071739053255,6.83599615443435,12.4799630191685,6.80303682689658,4.77526739305716,3.152336136753,13.340980734217,7.39054633748901,0,0,0,0
"32","W",4,13.1536460594346,4.69375165164448,15.5329952687758,7.20058739975923,15.7370398452268,7.11374138525193,13.615722224734,6.80886027725494,13.4711804157794,6.69673116821453,15.7098631899002,7.12575735260403,3.75655535603574,2.66986657851654,15.709959057223,7.03152616835381,0,0,0,0
"33","W",5,18.4741299513983,5.52304510361422,23.4448115081941,6.41129316012033,23.6316750735722,6.32981325217298,23.6957890269356,6.41364030184753,23.5545364825001,6.29083084525579,23.654895187761,6.33612035437456,3.73768391066313,2.84604676345777,23.4552247617129,6.30888690966508,0,0,0,0
"34","W",6,30.9098175159222,4.41150916852981,32.6071005605777,4.11308081606243,30.1812825217837,4.1795937939596,30.2108654161055,4.18300165054624,30.2937062364058,4.20118463113539,30.1856651180647,4.18323229466859,25.9957122520001,8.46233773918787,29.9678524507878,4.2679850613869,0,0,0,0
"35","W",12,36.6778497695147,20.4644381592982,41.5124443207164,18.2205876105354,36.6339906647368,20.2502524774582,36.0498327361864,19.9040915456039,36.0406227833627,19.875202656216,36.6275784385355,20.2444946129583,19.8821838493618,13.0597068316713,33.3773749996395,18.1368786315293,0,0,0,0
