"","Alternative","Inflow Group","Mean","Min","Max"
"1","Alt1","hihi",14.6269742412194,1.68643668322407,34.9910955622332
"2","Alt1","hilo",29.5581454884233,10.4362178271966,41.2876721846335
"3","Alt1","himed",24.4594501491609,5.77029415677808,41.3010780859336
"4","Alt1","lohi",32.1475385167868,18.4963262395888,64.8190727766083
"5","Alt1","lolo",32.5844618513782,7.46897877180812,64.7457528234564
"6","Alt1","lomed",28.2810005569819,10.0510094747372,57.0867810662391
"7","Alt1","medhi",28.5973562711163,16.4899575955847,45.1663111451551
"8","Alt1","medlo",43.4698975522607,13.8899953607852,64.9913827896364
"9","Alt1","medmed",34.7004648822512,12.1258399737142,64.992235560029
"10","Alt1",NA,9.62628442778623,9.62628442778623,9.62628442778623
"11","Alt2wTUCPwoVA","hihi",12.4495591610283,1.72175552507711,23.181993703654
"12","Alt2wTUCPwoVA","hilo",15.6562007679802,6.06451747408606,23.7212584907171
"13","Alt2wTUCPwoVA","himed",13.9192265775259,3.7162260221233,24.7617062178036
"14","Alt2wTUCPwoVA","lohi",31.9856111365395,23.3366545218609,48.1216062494615
"15","Alt2wTUCPwoVA","lolo",29.1466542469146,4.04073082555079,64.9899213721626
"16","Alt2wTUCPwoVA","lomed",26.8536165405693,12.2001403842923,47.2905266479979
"17","Alt2wTUCPwoVA","medhi",25.7832765262471,15.0319088167936,33.7223341989997
"18","Alt2wTUCPwoVA","medlo",31.1540929072931,11.6353202969926,64.9915906054456
"19","Alt2wTUCPwoVA","medmed",25.261332661385,14.2839038379139,64.9923956468392
"20","Alt2wTUCPwoVA",NA,32.534098523946,32.534098523946,32.534098523946
"21","Alt2woTUCPAllVA","hihi",11.8482987922559,1.72182574818194,23.2036553605545
"22","Alt2woTUCPAllVA","hilo",15.6876153262341,5.99543840228265,23.6476015141975
"23","Alt2woTUCPAllVA","himed",13.0736908953631,3.71768434130664,24.7589489918146
"24","Alt2woTUCPAllVA","lohi",31.2854157448255,9.43061541929809,64.9835499627603
"25","Alt2woTUCPAllVA","lolo",28.3562669653977,8.25543030013026,64.7998612469257
"26","Alt2woTUCPAllVA","lomed",24.3256218540509,9.75258835344112,47.2890411721508
"27","Alt2woTUCPAllVA","medhi",23.6313109245839,7.50155228401808,33.7257646842451
"28","Alt2woTUCPAllVA","medlo",31.783988478301,8.52997893527354,63.334723267546
"29","Alt2woTUCPAllVA","medmed",21.6638796145692,5.15480952776066,64.9923964722498
"30","Alt2woTUCPDeltaVA","hihi",11.7886884980906,1.7218512445507,23.2037559925754
"31","Alt2woTUCPDeltaVA","hilo",15.8276962329109,6.01683662746425,23.6959589615823
"32","Alt2woTUCPDeltaVA","himed",13.1801448272084,3.70903946789042,24.7538780618262
"33","Alt2woTUCPDeltaVA","lohi",30.7419238581596,9.16312373023036,64.9837152197541
"34","Alt2woTUCPDeltaVA","lolo",29.0823009494224,3.59371403309632,64.9899253630375
"35","Alt2woTUCPDeltaVA","lomed",24.3340396834456,10.1110072015208,47.2915133472166
"36","Alt2woTUCPDeltaVA","medhi",23.3619253882896,8.12404126965246,33.7257646842451
"37","Alt2woTUCPDeltaVA","medlo",31.1888620450132,8.21495457273912,63.3752824541109
"38","Alt2woTUCPDeltaVA","medmed",22.2353604827864,5.66169162608302,64.9923964479667
"39","Alt2woTUCPwoVA","hihi",12.4608154943462,1.7217681665978,23.1872467388008
"40","Alt2woTUCPwoVA","hilo",15.6744663121559,6.1238848994806,24.0305835856423
"41","Alt2woTUCPwoVA","himed",13.9487643847299,3.71634561229122,24.7584230891283
"42","Alt2woTUCPwoVA","lohi",31.1849421214559,18.2909773009471,44.4360059598764
"43","Alt2woTUCPwoVA","lolo",28.6257988930224,3.61942315699577,64.9899183539041
"44","Alt2woTUCPwoVA","lomed",26.4503377213707,9.67164870144942,47.2906333321216
"45","Alt2woTUCPwoVA","medhi",25.6896478111851,15.035988481775,33.7223341989997
"46","Alt2woTUCPwoVA","medlo",31.2462864307654,8.20234152599714,64.9915764539534
"47","Alt2woTUCPwoVA","medmed",25.1102678730052,10.3966199924964,64.9923954804812
"48","Alt3","hihi",6.72951175724206,0.353310049075348,24.2516186588091
"49","Alt3","hilo",11.2402745165556,1.46508609912457,24.1994922982343
"50","Alt3","himed",10.0183635438194,1.52609323345632,25.339686843574
"51","Alt3","lohi",26.1454126408233,6.50505722499784,34.9680101042209
"52","Alt3","lolo",15.4460568215127,5.41978953258129,53.6453089137021
"53","Alt3","lomed",14.9375573811929,5.67671868295792,54.1189240670511
"54","Alt3","medhi",10.0067841455564,1.693418425071,34.9735431774387
"55","Alt3","medlo",15.0982765533247,3.42193016260216,39.1244340721224
"56","Alt3","medmed",11.1258239991371,3.53397719917871,34.9855106452627
"57","Alt3",NA,9.18857461892622,7.47464662465565,12.8907122958707
"58","Alt4","hihi",12.6893399968682,1.72166957581551,23.3829407030704
"59","Alt4","hilo",15.3936539904533,5.31510506370356,20.890617028541
"60","Alt4","himed",13.9640694811705,3.96214249631527,26.4834394793263
"61","Alt4","lohi",31.146545387027,23.3416938658997,34.9751887621635
"62","Alt4","lolo",29.5794139227557,3.66929432054146,59.3716509431603
"63","Alt4","lomed",27.6142272802788,12.1482658115938,56.852650829064
"64","Alt4","medhi",25.8260843159613,15.0924323888168,34.8379607860167
"65","Alt4","medlo",29.9936225251777,15.6148144547167,52.0268259544261
"66","Alt4","medmed",25.4200810157355,14.6123245526953,50.5439745760386
"67","EXP1","hihi",0,0,0
"68","EXP1","hilo",0,0,0
"69","EXP1","himed",0,0,0
"70","EXP1","lohi",0,0,0
"71","EXP1","lolo",0,0,0
"72","EXP1","lomed",0,0,0
"73","EXP1","medhi",0,0,0
"74","EXP1","medlo",0,0,0
"75","EXP1","medmed",0,0,0
"76","EXP1",NA,0,0,0
"77","EXP3","hihi",0,0,0
"78","EXP3","hilo",0,0,0
"79","EXP3","himed",0,0,0
"80","EXP3","lohi",0,0,0
"81","EXP3","lolo",0,0,0
"82","EXP3","lomed",0,0,0
"83","EXP3","medhi",0,0,0
"84","EXP3","medlo",0,0,0
"85","EXP3","medmed",0,0,0
"86","EXP3",NA,0,0,0
"87","NAA","hihi",11.7100527007716,1.72159692948326,23.3032647433971
"88","NAA","hilo",15.5041635899073,6.19848871758973,21.9296771877877
"89","NAA","himed",13.6150674197844,3.69249198169923,24.6637665688962
"90","NAA","lohi",28.6721456263855,18.3480557967221,64.9836758281357
"91","NAA","lolo",29.4716882054431,3.58900118283017,64.9909435944246
"92","NAA","lomed",26.1433933756415,12.2521642862402,47.2896917776058
"93","NAA","medhi",21.462175346877,7.58780307533468,33.998088278477
"94","NAA","medlo",32.1004789273862,14.2788505018923,63.4519017896697
"95","NAA","medmed",24.6478201429549,11.3502552516675,64.9923825627955
